site,lat,lon,expected_depth_m,status,scene_id,scene_date,cloud_cover,bands_downloaded,best_method,reef_candidate_pixels,reef_polygons,reef_area_m2,mean_depth,elapsed_s,error
tavira_west,37.105,-7.68,12,success,S2B_MSIL2A_20241229T112409_R037_T29SPB_20241229T133929,2024-12-29,0.366447,11,pca,0,0,0.0,-3.332,9.9,
ilha_de_tavira,37.095,-7.72,10,success,S2B_MSIL2A_20241229T112409_R037_T29SPB_20241229T133929,2024-12-29,0.366447,11,pca,0,0,0.0,-3.353,9.7,
fuseta,37.06,-7.76,14,success,S2B_MSIL2A_20241229T112409_R037_T29SPB_20241229T133929,2024-12-29,0.366447,11,pca,0,0,0.0,-3.352,10.6,
olhao_offshore,37.035,-7.82,12,success,S2B_MSIL2A_20241229T112409_R037_T29SPB_20241229T133929,2024-12-29,0.366447,11,pca,0,0,0.0,-3.446,16.1,
faro_east,37.01,-7.88,15,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,pca,0,0,0.0,-3.569,11.8,
praia_de_faro,36.98,-7.94,12,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,pca,0,0,0.0,-3.455,11.1,
ancão_peninsula,36.965,-8.0,10,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,4746,1,104213.7,-4.456,6.5,
quarteira,37.065,-8.1,12,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,1605,1,27809.3,-3.831,5.2,
vilamoura,37.075,-8.13,14,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,1212,43,21513.2,-3.719,5.8,
olhos_de_agua,37.09,-8.16,12,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,23,0,0.0,-3.431,4.1,
pedra_sta_eulalia,37.0454,-8.1749,12,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,4688,1,93246.3,-4.407,5.0,
albufeira_reef,37.069,-8.2105,16,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,4634,1,107854.9,-4.342,5.9,
galé,37.056,-8.2296,14,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,4718,1,100726.4,-4.372,5.5,
salgados,37.095,-8.3,12,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,11,0,0.0,-3.257,5.8,
armacao_de_pera,37.07,-8.36,10,success,S2B_MSIL2A_20241229T112409_R037_T29SNB_20241229T133929,2024-12-29,0.007747,11,stumpf,4667,1,109347.8,-4.466,6.1,
