date_str,date,tile,cloud,sun_el,month,clear_water_bonus,quality_score
2024-09-30,2024-09-30,29SNA,0.001553,45,9,0.3,0.8998446999999999
2024-01-24,2024-01-24,29SNA,0.002148,45,1,0.3,0.8997852
2023-09-01,2023-09-01,29SNA,0.00224,45,9,0.3,0.899776
2024-09-05,2024-09-05,29SNA,0.002641,45,9,0.3,0.8997358999999999
2025-09-15,2025-09-15,29SNA,0.002814,45,9,0.3,0.8997186
2025-09-02,2025-09-02,29SNA,0.003185,45,9,0.3,0.8996814999999999
2025-01-18,2025-01-18,29SNB,0.006695,45,1,0.3,0.8993304999999999
2023-10-01,2023-10-01,29SNB,0.006758,45,10,0.3,0.8993242
2023-01-29,2023-01-29,29SNB,0.006797,45,1,0.3,0.8993203
2024-12-29,2024-12-29,29SNB,0.007747,45,12,0.3,0.8992253
2023-01-24,2023-01-24,29SNB,0.009934,45,1,0.3,0.8990066
2025-10-05,2025-10-05,29SNB,0.01139,45,10,0.3,0.898861
